Gene	JXQ-3D-1279R1	JXQ-3D-1279R2	JXQ-3D-1279R3	JXQ-3D-1279R4	JXQ-3D-1279R5	JXQ-3D-1279R6	JXQ-3D-1279R7	JXQ-3D-1279R8	JXQ-3D-1279R9	JXQ-3D-1405R1	JXQ-3D-1405R2	JXQ-3D-1405R3	JXQ-3D-1405R4	JXQ-3D-1436R1	JXQ-3D-1436R2	JXQ-3D-1436R3	JXQ-3D-1436R4	JXQ-3D-1436R5	JXQ-3D-1436R6	JXQ-3D-4160R1	JXQ-3D-4160R2	JXQ-3D-4160R3	JXQ-3D-4256R1	JXQ-3D-4256R2	JXQ-3D-4256R3	JXQ-3D-668R1	JXQ-3D-668R2	JXQ-3D-668R3	JXQ-3D-668R4	JXQ-3D-902R1	JXQ-3D-902R2	JXQ-3D-902R3	JXQ-3D-902R4	JXQ-3D-902R5	JXQ-3D-902R6	JXQ-3D-902R7	JXQ-3D-902R8	JXQ-3D-902R9
RPS4Y1	5.0386	7.3572	-6.6439	7.5755	-6.6439	8.3779	5.7502	5.7801	7.3893	7.3077	-3.8026	7.9326	-1.6147	7.5713	7.6894	8.3749	7.9647	8.1757	8.318	-4.037	-1.8641	-6.6439	-4.1385	-6.6439	-3.8585	-6.6439	-6.6439	-4.0171	5.9995	-6.6439	-4.1879	-6.6439	-3.8998	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
UCHL1	10.0556	9.9158	9.6443	9.6498	8.5695	9.7303	10.0842	8.2672	10.4041	-1.6882	-0.2402	-1.6721	0.1708	-4.2051	-2.9106	-4.3293	-3.5109	-4.2473	-3.344	-2.535	-6.6439	-3.0667	8.3478	8.8217	8.106	2.1007	2.6572	0.002	1.2801	-2.1515	-6.6439	-3.464	-3.308	-1.7418	-2.1439	-6.6439	-4.2199	-4.1621
MMP1	-2.2454	-3.1573	-1.1762	0.2074	-4.2294	1.1386	-1.194	-0.8972	-1.6121	-0.4366	5.4271	-0.1581	-0.3139	11.4158	11.6585	10.6252	6.5428	13.3933	11.9864	-1.4084	-1.5842	-2.9476	-2.8087	-2.4616	-0.0754	0.3946	0.7006	0.3762	-1.339	8.9152	7.9577	9.7047	5.8425	12.0459	6.6704	8.9037	6.2986	10.6868
MMP2	8.0217	8.8921	7.7567	8.4107	4.1053	6.7716	7.7392	4.4026	7.269	-4.5416	-2.6996	-4.6577	-3.3779	6.2879	4.4066	4.0756	6.7137	4.3126	4.6798	-3.5187	-4.8484	-6.6439	3.6522	-2.2753	-0.5769	6.3799	4.1833	7.2249	-5.3968	-5.4687	-4.7886	-4.8962	-6.6439	-6.6439	-3.771	-1.4902	-3.5291	-6.6439
BEX1	0.8206	1.5775	2.9015	3.8913	-6.6439	4.4735	4.0754	-2.6797	3.3066	-6.6439	-6.6439	-2.4262	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-3.885	-6.6439	-6.6439	-6.6439	-4.091	-1.3594	-6.6439	-6.6439	-3.8331	-3.9688	-3.8112	5.7153	6.5726	5.1137	7.251	7.4708	7.5636	6.7639	4.2106	6.341
VGLL1	2.0964	-6.6439	-6.6439	-6.6439	5.892	-6.6439	-4.4934	6.5858	-4.3297	6.2022	2.4036	4.1883	3.998	-4.2961	-6.6439	-6.6439	-6.6439	-3.4913	-4.2954	1.9568	2.1588	4.3854	7.2356	6.6585	7.0877	-6.6439	-6.6439	-6.6439	6.7019	-6.6439	-6.6439	-6.6439	-6.6439	-4.375	-6.6439	-6.6439	-4.3106	-4.2537
NGFRAP1	6.443	6.6447	7.1655	6.6773	5.3339	6.926	6.7977	4.952	6.5655	-4.5108	-3.3395	-6.6439	-6.6439	4.1634	3.8476	5.298	3.869	4.6769	4.1754	-3.5853	-3.0077	-6.6439	5.8185	5.9582	5.6009	6.8454	7.3787	6.6429	6.6237	-3.5128	-6.6439	-2.6854	-6.6439	-2.6531	-3.5058	-5.2285	-6.6439	-2.5107
RAB25	2.0689	-4.2388	-6.6439	-4.2164	6.8055	-3.2606	-2.0522	7.6782	-4.1979	6.1744	6.6597	7.0066	6.1478	-4.1635	-6.6439	-4.2884	-4.3145	-3.3455	-6.6439	7.021	6.7284	6.5747	6.971	6.2804	6.3175	-4.0967	-6.6439	-3.387	5.3921	-4.1959	-3.5702	-6.6439	-3.262	-2.854	-4.1895	-5.1005	3.263	-3.2514
CXCL5	2.5349	1.6678	3.8752	3.1698	-0.6356	2.417	7.1209	2.6413	2.0269	8.9367	9.5106	9.9186	8.3821	-1.5842	-6.6439	-4.4313	-3.9814	-5.0829	-5.0479	5.0277	8.7533	7.6014	-6.6439	-3.443	-3.746	-4.9937	-4.2598	-3.5469	-4.2392	5.9365	5.3556	6.0615	7.0533	4.9877	5.8771	4.7208	6.919	8.5035
CALB1	-1.6941	-3.1674	-3.5746	-3.9144	6.3297	-2.1051	0.2814	6.7179	-5.1042	7.4645	5.3981	6.8286	7.4317	-4.3431	-3.9519	-3.4831	-1.0452	-4.3843	-1.5395	6.9569	7.6899	6.9031	-3.5631	-3.0657	-2.3364	-4.2782	-6.6439	-6.6439	7.24	3.902	6.6666	6.7435	5.1815	5.6354	6.5663	7.1037	6.9528	6.9846
GREM1	7.2961	8.9366	9.2245	8.3529	1.4207	10.6754	8.8848	-0.0782	8.97	-5.0401	-1.8502	-4.7367	-1.9346	-4.1068	-4.9536	-2.54	-5.0064	-1.7955	-1.8039	-4.2069	-6.6439	-4.6546	-5.0454	-4.8639	-1.7185	0.7434	-3.355	-1.1597	-2.0612	-4.1395	-4.865	-6.6439	-4.8485	-4.5181	-5.5229	-4.6395	-5.5155	-3.0338
PRSS8	1.1122	-6.6439	-3.6022	-4.0835	5.6367	-6.6439	-2.6367	6.5762	-6.6439	5.8619	6.3447	6.7497	5.1378	-4.0295	-6.6439	-6.6439	-6.6439	-4.8484	-6.6439	6.0549	4.5834	4.5067	7.4565	7.3235	6.9821	-4.7526	-4.7668	-4.8811	5.1164	-1.2906	2.5813	-4.9059	-0.4191	-4.1118	-1.8076	1.2682	3.9464	-0.6871
AP1M2	1.6329	-4.7711	-6.6439	-4.751	6.3755	-2.978	-4.1144	6.6369	-6.6439	5.7429	5.478	6.1908	5.8682	-4.7034	-4.7833	-2.4066	-6.6439	-4.7415	-1.399	5.5894	5.4188	5.8583	6.4084	5.8401	6.0716	-1.4334	-3.3385	-1.2033	6.1714	-3.9384	-6.6439	-6.6439	-6.6439	-3.9884	-4.7268	-5.5153	0.8622	-6.6439
GABRP	-3.4239	-6.6439	-6.6439	-6.6439	1.3964	-5.2952	-5.4656	2.4243	-5.3459	8.2206	5.755	5.8513	7.0897	-6.6439	-4.2716	-6.6439	-4.7799	-6.6439	-6.6439	6.9572	0.8907	0.6845	4.4544	6.4058	6.0734	-4.5813	-5.2836	-6.6439	-4.1114	-5.3445	-6.6439	-6.6439	-6.6439	-5.3794	-5.3398	-5.9409	-6.6439	-6.6439
PDZK1IP1	-3.1504	-2.5869	-1.6261	0.3625	-1.9496	-2.0649	-0.1549	-0.2259	-2.1457	8.2858	9.2398	9.2456	8.0118	-3.9304	-4.0223	-6.6439	-6.6439	-2.5489	-6.6439	2.1553	-0.3098	4.9049	-2.3383	-6.6439	-6.6439	-3.8615	-3.8781	-4.0131	2.0195	4.3732	7.8382	-1.9246	7.9562	-2.5931	6.0895	6.2784	7.0914	7.0354
HLA-DRA	-0.5367	-3.0709	-4.4278	-6.6439	-6.6439	-6.6439	-4.5539	-4.3435	-2.6394	8.1577	9.328	8.6546	5.7065	1.9574	2.2482	1.5872	-2.0098	0.851	-0.089	3.7683	7.1717	5.873	-6.6439	-6.6439	-4.2874	-2.5238	-0.0289	-4.4363	-4.2893	6.0419	5.0349	-6.6439	5.7347	-6.6439	4.1615	1.3332	5.0167	5.03
PTN	4.6159	4.0667	2.6948	3.8938	5.5458	1.5321	5.3724	5.664	3.5952	-3.4433	-3.6152	-1.9682	-6.6439	-2.3004	-3.8437	-4.6835	-6.6439	-3.7946	-2.0874	-4.6597	-6.6439	-4.7753	7.8691	6.8275	7.523	4.1976	1.5838	3.9104	4.4148	-6.6439	-6.6439	-6.6439	-6.6439	-4.6426	-6.6439	-6.6439	-6.6439	-6.6439
EIF1AY	1.459	4.3073	-6.6439	4.2736	-6.6439	4.1712	2.296	2.6629	3.8186	3.5629	-6.6439	-6.6439	-4.5049	4.5979	4.6884	4.4548	4.4402	4.7595	4.9412	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.3797	-6.6439	-6.6439	-6.6439	3.6399	-6.6439	-5.3524	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
PTK7	6.2955	6.3008	5.9407	6.3984	4.8748	6.459	6.161	4.608	6.2196	-6.6439	-3.5045	-2.1565	-1.5391	5.0196	5.1289	4.8804	4.4973	4.5977	4.6754	-4.565	-3.5025	-5.0937	5.0037	4.7699	4.5521	-4.8471	-4.423	-3.3596	-3.9235	-4.932	-5.6824	-4.9964	-4.8756	-5.5789	-4.9265	-6.0696	-5.5361	-5.4978
CDH1	2.9166	-4.3591	-4.8661	-3.6605	6.4562	-2.8072	-1.8413	7.4124	-4.319	8.4026	7.0881	7.5258	7.2472	-2.3526	-4.1115	-4.1484	-3.9561	-3.4794	-4.0201	6.3092	6.5039	6.8109	8.2395	8.6353	8.6293	-3.9526	-4.5628	-1.7404	6.8668	2.2123	4.9656	-2.7259	0.9098	-2.0511	0.5248	-1.0711	6.8191	4.3431
KLK6	3.213	-4.7467	-3.4419	-3.0459	7.0569	-6.6439	-3.2149	8.7021	-6.6439	0.6449	0.5507	3.1396	3.9241	-4.6787	-4.759	-3.1273	-6.6439	-6.6439	-3.8757	10.0948	9.8845	8.0538	4.3567	1.3455	3.9505	-6.6439	-4.6327	-3.9596	3.59	-3.3993	-3.437	-4.7767	-2.9487	-2.7798	-4.7022	-3.5934	0.4109	-4.6393
POSTN	-2.1383	-1.2864	-3.1354	-2.1787	-3.4901	2.3152	-5.9494	-5.3276	-4.2421	-6.6439	-0.7994	-1.1592	-5.3808	4.7085	2.8926	0.1975	6.0399	-0.8283	2.9304	-6.6439	-6.6439	-6.6439	-3.3673	-5.3277	-2.2287	11.0426	10.6382	8.1812	-4.1367	6.2874	2.7907	7.3337	0.269	4.9515	5.5018	3.6504	-1.2139	1.4419
CEACAM6	-2.7419	-6.6439	-6.6439	-5.1553	1.0696	-4.3538	-2.8669	2.59	-3.0579	10.6234	8.8044	9.1074	9.2287	-3.2591	-5.1837	-4.5077	-2.5062	-4.4283	-3.5462	5.0017	8.4104	4.4856	-4.577	-3.2419	-5.0543	-2.7383	-4.3386	-3.6332	-2.3916	-2.8506	-4.9237	-3.3792	-2.9817	-3.6339	-3.575	-5.8042	5.2429	2.3292
SAA1	-1.2634	-1.8087	-2.7544	0.8757	1.7774	-2.6331	1.7546	3.086	-2.7121	2.8559	5.4354	5.671	-0.6459	-1.4072	-0.3984	-6.6439	-1.8993	-3.6292	-1.1497	5.0296	3.3278	5.1462	0.0025	-6.6439	-0.4113	-6.6439	-3.5294	-3.6696	1.5335	9.634	10.2633	5.7732	10.7315	3.6618	8.297	7.5936	10.2762	9.9896
IGFBP7	3.3025	5.4922	2.5684	3.8917	4.0503	3.1175	2.4906	3.6813	2.9624	-6.6439	2.0776	-0.5278	-4.997	7.4226	7.0439	6.7687	7.4766	6.2428	6.8503	-2.0813	0.2467	-6.6439	-3.9061	-3.3113	-2.1562	6.8798	6.3109	8.483	6.754	-6.6439	-1.9728	-3.4479	-4.1569	-6.6439	-2.4329	-1.9288	-4.9609	-6.6439
PSAT1	4.3791	2.917	3.8734	3.6385	4.7829	4.4408	5.0122	5.1768	4.057	-3.8815	-2.874	1.8547	-2.4499	4.8834	4.739	4.6404	5.2277	6.8001	5.0213	6.3697	5.8275	6.1169	6.4902	5.8308	6.0029	2.3171	5.7015	4.261	3.2057	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.1992	-6.6439	-4.9465	-6.6439
COL1A2	8.5996	9.2987	6.8402	7.493	2.793	7.4699	7.0405	-0.7013	7.6242	-3.1666	-1.8584	-2.1594	-2.1852	-4.7349	-3.678	-2.4471	-0.32	-2.2257	-1.9034	-4.0435	-5.1817	-5.8306	-2.4384	-3.1536	-1.9755	9.5027	5.6965	10.3295	-3.5057	-0.2345	-1.7545	5.3649	-2.6333	2.8687	-1.4368	-1.7102	-5.1512	-2.126
SPARC	3.621	8.1494	6.0407	7.858	1.4644	8.6664	7.257	-2.553	7.4557	-3.0893	-0.941	3.4297	0.0493	7.7047	6.8416	6.4247	7.2885	6.3694	7.091	-3.8745	-2.7749	-4.792	5.6518	4.8261	7.0126	10.821	8.9092	11.1673	-6.6439	1.5231	-0.3902	-3.1713	-1.2617	-2.7331	-0.4695	-1.4714	-0.971	-0.9695
UCA1	1.0279	-2.5149	-3.4302	-3.6942	7.1475	-1.0029	-1.5763	6.3372	-6.6439	9.4275	9.5181	9.1538	9.256	4.9384	6.025	4.6604	2.7347	6.1847	6.9547	9.4401	8.967	9.0607	5.2893	6.4484	7.449	-4.405	-6.6439	-4.5442	6.9267	5.3377	6.9681	7.097	2.4525	8.0523	5.1222	6.3246	6.7648	6.2844
AGR2	1.4664	-4.1222	-4.118	-6.6439	4.2342	-6.6439	-1.9154	5.9686	-6.6439	9.4145	9.6586	9.1335	9.3177	0.9112	0.8783	-2.7726	-2.4132	-1.0065	-3.1691	6.2497	8.0508	6.7841	-2.4679	-1.9097	-3.9706	-3.9777	-3.1138	-6.6439	4.5415	0.1907	0.1577	-1.8031	0.9519	-1.5545	-1.7049	-3.4031	3.8569	-0.1084
CXCL6	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.631	-4.6768	2.0726	4.7682	-6.6439	1.1416	0.3256	0.6207	-6.6439	-0.5259	-0.3395	-1.4356	-1.6765	-1.6221	-1.828	-4.8245	-6.6439	-6.6439	1.4005	1.3637	-4.7183	-3.7635	6.6625	5.2627	4.2274	7.1964	2.3665	6.8474	4.885	6.2959	7.2581
BASP1	7.958	7.6915	7.6585	8.1414	6.4782	8.3134	7.9807	3.9354	7.7391	-6.6439	-3.8046	-6.6439	-0.1435	-1.9495	-2.8551	-2.7687	-1.0837	-2.8019	-3.9358	-2.8669	-3.9919	-6.6439	8.9827	8.0345	7.1821	-0.8216	-0.3681	-1.8298	-1.1978	1.5373	0.6933	-4.0486	0.475	0.9125	-1.266	0.1407	-0.27	0.0602
RPL39L	4.5385	4.4934	4.1302	4.5251	4.3545	5.3421	4.2255	3.783	4.1196	2.42	0.3436	2.572	3.1031	-6.6439	-3.7265	-6.6439	-6.6439	-6.6439	-6.6439	3.6972	3.169	4.2173	5.2435	4.8466	3.1329	-2.6479	-3.5774	-3.717	-6.6439	-6.6439	-4.6943	-6.6439	-6.6439	-3.7176	-3.6592	-6.6439	-6.6439	-6.6439
HLA-DRB1	-1.5166	-2.9998	-3.2354	-6.6439	-6.6439	-3.4084	-6.6439	-2.8969	-3.4837	7.8711	9.025	8.3003	5.9718	1.3	1.4025	0.7018	-3.611	0.9129	-1.8583	1.8543	5.5368	4.7868	-2.9348	-3.4293	-2.4428	-6.6439	-4.2474	-4.3753	-6.6439	6.2877	5.7743	-4.4032	6.2741	-3.5341	4.617	2.057	5.8061	5.1791
